*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,2401A00105.HDF,1-SD,1-AT,73954,17.67,1,0.824,38.94,3.51,35.43,2,2,4,3,2,0,1,4030.8,7.9
*data,2401A00140.HDF,1-SD,1-AT,71984,26.74,3,0.53,36.86,2.79,34.07,2,2,4,3,1,3,1,4617.7,7.9
*data,2401A00145.HDF,1-SD,1-AT,94169,22.50,1,0.824,28.37,0.00,28.37,2,2,0,1,1,0,1,4030.8,7.9
*data,2401A00157.HDF,1-SD,1-AT,67575,16.66,1,0.824,29.86,1.98,27.88,2,2,4,3,1,1,0,4881.5,6.4
*data,2402A00162.HDF,1-SD,1-AT,75587,18.06,1,0.824,47.78,3.11,44.67,2,2,6,1,2,0,0,4030.8,7.9
*data,2402A00185.HDF,1-SD,1-AT,62158,23.09,3,0.53,38.18,3.91,34.27,2,2,4,2,2,0,0,4030.8,7.9
*data,2402A00188.HDF,1-SD,1-AT,77512,18.52,1,0.824,35.85,3.09,32.76,2,2,6,2,1,0,1,4030.8,7.9
*data,2402A00199.HDF,1-SD,1-AT,83581,19.97,1,0.824,26.41,2.15,24.26,2,2,4,3,2,0,0,4030.8,7.9
*data,2402A00205.HDF,1-SD,1-AT,112041,26.77,1,0.824,18.38,0.00,18.38,2,2,0,2,2,0,0,4030.8,7.9
*data,2402A00233.HDF,1-SD,1-AT,84418,20.17,1,0.824,49.48,2.21,47.27,2,2,6,1,1,1,0,4617.7,7.9
*data,2402A00276.HDF,1-SD,1-AT,61835,22.97,3,0.53,22.55,0,22.55,2,2,1.5,1,1,1,0,4030.8,7.9
*data,2402A00278.HDF,1-SD,1-AT,65631,24.38,3,0.53,21.99,0.20,21.79,2,2,6,3,1,1,1,4030.8,7.9
*data,2402A00286.HDF,1-SD,1-AT,55371,13.23,1,0.824,24.56,0.37,24.19,2,2,1.5,3,1,0,0,4030.8,7.9
